ID ,,  Year  ,       Award      ,Winner,      Name           Film        
101 , 1928 , Actress in a Leading Role , 1 , Janet Gaynor , 7th Heaven
104 , 1928 , Actress in a Leading Role , 0 , Gloria Swanson , Sadie Thompson
100 , 1928 , Actor in a Leading Role , 1 , Emil Jannings , The Last Command
103 , 1928 , Actress in a Leading Role , 0 , Louise Dresser , A Ship Comes In
102 , 1928 , Actor in a Leading Role , 0 , Richard Barthelmess , The Noose
115 , 1929 , Actress in a Leading Role , 0 , Bessie Love , The Broadway Melody
106 , 1929 , Actress in a Leading Role , 1 , Mary Pickford , Coquette
110 , 1929 , Actor in a Leading Role , 0 , Lewis Stone , The Patriot
105 , 1929 , Actor in a Leading Role , 1 , Warner Baxter , In Old Arizona
107 , 1929 , Actor in a Leading Role , 0 , George Bancroft , Thunderbolt
114 , 1929 , Actress in a Leading Role , 0 , Corinne Griffith , The Divine Lady
112 , 1929 , Actress in a Leading Role , 0 , Betty Compson , The Barker
108 , 1929 , Actor in a Leading Role , 0 , Chester Morris , Alibi
109 , 1929 , Actor in a Leading Role , 0 , Paul Muni , The Valiant
113 , 1929 , Actress in a Leading Role , 0 , Jeanne Eagels , The Letter
111 , 1929 , Actress in a Leading Role , 0 , Ruth Chatterton , Madame X
117 , 1930 , Actress in a Leading Role , 1 , Norma Shearer , The Divorcee
122 , 1930 , Actor in a Leading Role , 0 , Lawrence Tibbett , The Rogue Song
127 , 1930 , Actress in a Leading Role , 0 , Gloria Swanson , The Trespasser
125 , 1930 , Actress in a Leading Role , 0 , Greta Garbo , Anna Christie
119 , 1930 , Actor in a Leading Role , 0 , Wallace Beery , The Big House
120 , 1930 , Actor in a Leading Role , 0 , Maurice Chevalier , The Big Pond
126 , 1930 , Actress in a Leading Role , 0 , Norma Shearer , Their Own Desire
118 , 1930 , Actor in a Leading Role , 0 , George Arliss , The Green Goddess
116 , 1930 , Actor in a Leading Role , 1 , George Arliss , Disraeli
123 , 1930 , Actress in a Leading Role , 0 , Nancy Carroll , The Devil's Holiday
121 , 1930 , Actor in a Leading Role , 0 , Ronald Colman , Bulldog Drummond
124 , 1930 , Actress in a Leading Role , 0 , Ruth Chatterton , Sarah and Son
131 , 1931 , Actor in a Leading Role , 0 , Richard Dix , Cimarron
137 , 1931 , Actress in a Leading Role , 0 , Norma Shearer , A Free Soul
132 , 1931 , Actor in a Leading Role , 0 , Fredric March , The Royal Family of Broadway
136 , 1931 , Actress in a Leading Role , 0 , Ann Harding , Holiday
133 , 1931 , Actor in a Leading Role , 0 , Adolphe Menjou , The Front Page
134 , 1931 , Actress in a Leading Role , 0 , Marlene Dietrich , Morocco
128 , 1931 , Actor in a Leading Role , 1 , Lionel Barrymore , A Free Soul
