ID ,,  Year  ,       Award      ,Winner,      Name           Film        
1369 , 1996 , Actor in a Supporting Role , 1 , "Cuba Gooding ,  Jr.",Jerry Maguire
1079 , 1981 , Actor in a Supporting Role , 0 , "Howard E. Rollins ,  Jr.",Ragtime
1089 , 1982 , Actor in a Supporting Role , 1 , "Louis Gossett ,  Jr.",An Officer and a Gentleman
1586 , 2006 , Actress in a Supporting Role , 0 , Abigail Breslin , Little Miss Sunshine
1136 , 1984 , Actor in a Supporting Role , 0 , Adolph Caesar , A Soldier's Story
133 , 1931 , Actor in a Leading Role , 0 , Adolphe Menjou , The Front Page
1584 , 2006 , Actress in a Supporting Role , 0 , Adriana Barraza , Babel
1488 , 2002 , Actor in a Leading Role , 1 , Adrien Brody , The Pianist
305 , 1942 , Actress in a Supporting Role , 0 , Agnes Moorehead , The Magnificent Ambersons
747 , 1964 , Actress in a Supporting Role , 0 , Agnes Moorehead , "Hush...Hush, Sweet Charlotte"
426 , 1948 , Actress in a Supporting Role , 0 , Agnes Moorehead , Johnny Belinda
347 , 1944 , Actress in a Supporting Role , 0 , Agnes Moorehead , Mrs. Parkington
179 , 1936 , Actor in a Supporting Role , 0 , Akim Tamiroff , The General Died at Dawn
319 , 1943 , Actor in a Supporting Role , 0 , Akim Tamiroff , For Whom the Bell Tolls
899 , 1972 , Actor in a Supporting Role , 0 , Al Pacino , The Godfather
1298 , 1992 , Actor in a Supporting Role , 0 , Al Pacino , Glengarry Glen Ross
1288 , 1992 , Actor in a Leading Role , 1 , Al Pacino , Scent of a Woman
1259 , 1990 , Actor in a Supporting Role , 0 , Al Pacino , Dick Tracy
1033 , 1979 , Actor in a Leading Role , 0 , Al Pacino , ...And Justice for All
953 , 1975 , Actor in a Leading Role , 0 , Al Pacino , Dog Day Afternoon
935 , 1974 , Actor in a Leading Role , 0 , Al Pacino , The Godfather Part II
914 , 1973 , Actor in a Leading Role , 0 , Al Pacino , Serpico
1536 , 2004 , Actor in a Supporting Role , 0 , Alan Alda , The Aviator
772 , 1966 , Actor in a Leading Role , 0 , Alan Arkin , The Russians Are Coming The Russians Are Coming
1696 , 2012 , Actor in a Supporting Role , 0 , Alan Arkin , Argo
1569 , 2006 , Actor in a Supporting Role , 1 , Alan Arkin , Little Miss Sunshine
813 , 1968 , Actor in a Leading Role , 0 , Alan Arkin , The Heart Is a Lonely Hunter
814 , 1968 , Actor in a Leading Role , 0 , Alan Bates , The Fixer
256 , 1940 , Actor in a Supporting Role , 0 , Albert Basserman , Foreign Correspondent
1196 , 1987 , Actor in a Supporting Role , 0 , Albert Brooks , Broadcast News
712 , 1963 , Actor in a Leading Role , 0 , Albert Finney , Tom Jones
1458 , 2000 , Actor in a Supporting Role , 0 , Albert Finney , Erin Brockovich
1133 , 1984 , Actor in a Leading Role , 0 , Albert Finney , Under the Volcano
1115 , 1983 , Actor in a Leading Role , 0 , Albert Finney , The Dresser
932 , 1974 , Actor in a Leading Role , 0 , Albert Finney , Murder on the Orient Express
1516 , 2003 , Actor in a Supporting Role , 0 , Alec Baldwin , The Cooler
495 , 1952 , Actor in a Leading Role , 0 , Alec Guinness , The Lavender Hill Mob
1216 , 1988 , Actor in a Supporting Role , 0 , Alec Guinness , Little Dorrit
998 , 1977 , Actor in a Supporting Role , 0 , Alec Guinness , Star Wars
588 , 1957 , Actor in a Leading Role , 1 , Alec Guinness , The Bridge on the River Kwai
335 , 1944 , Actor in a Leading Role , 0 , Alexander Knox , Wilson
1127 , 1983 , Actress in a Supporting Role , 0 , Alfre Woodard , Cross Creek
141 , 1932 , Actor in a Leading Role , 0 , Alfred Lunt , The Guardsman
862 , 1970 , Actress in a Leading Role , 0 , Ali MacGraw , Love Story
185 , 1936 , Actress in a Supporting Role , 0 , Alice Brady , My Man Godfrey
191 , 1937 , Actress in a Supporting Role , 1 , Alice Brady , In Old Chicago
1751 , 2015 , Actress in a Supporting Role , 1 , Alicia Vikander , The Danish Girl
346 , 1944 , Actress in a Supporting Role , 0 , Aline MacMahon , Dragon Seed
1564 , 2005 , Actress in a Supporting Role , 0 , Amy Adams , Junebug
1720 , 2013 , Actress in a Leading Role , 0 , Amy Adams , American Hustle
1704 , 2012 , Actress in a Supporting Role , 0 , Amy Adams , The Master
1664 , 2010 , Actress in a Supporting Role , 0 , Amy Adams , The Fighter
1624 , 2008 , Actress in a Supporting Role , 0 , Amy Adams , Doubt
1126 , 1983 , Actress in a Supporting Role , 0 , Amy Irving , Yentl
1165 , 1985 , Actress in a Supporting Role , 0 , Amy Madigan , Twice in a Lifetime
1607 , 2007 , Actress in a Supporting Role , 0 , Amy Ryan , Gone Baby Gone
204 , 1937 , Actress in a Supporting Role , 0 , Andrea Leeds , Stage Door
1769 , 2016 , Actor in a Leading Role , 0 , Andrew Garfield , Hacksaw Ridge
1257 , 1990 , Actor in a Supporting Role , 0 , Andy Garcia , "The Godfather, Part III"
1320 , 1993 , Actress in a Leading Role , 0 , Angela Bassett , What's Love Got to Do with It
345 , 1944 , Actress in a Supporting Role , 0 , Angela Lansbury , Gaslight
706 , 1962 , Actress in a Supporting Role , 0 , Angela Lansbury , The Manchurian Candidate
366 , 1945 , Actress in a Supporting Role , 0 , Angela Lansbury , The Picture of Dorian Gray
1431 , 1999 , Actress in a Supporting Role , 1 , Angelina Jolie , "Girl, Interrupted"
1621 , 2008 , Actress in a Leading Role , 0 , Angelina Jolie , Changeling
1151 , 1985 , Actress in a Supporting Role , 1 , Anjelica Huston , Prizzi's Honor
1260 , 1990 , Actress in a Leading Role , 0 , Anjelica Huston , The Grifters
1244 , 1989 , Actress in a Supporting Role , 0 , Anjelica Huston , "Enemies, A Love Story"
365 , 1945 , Actress in a Supporting Role , 0 , Ann Blyth , Mildred Pierce
136 , 1931 , Actress in a Leading Role , 0 , Ann Harding , Holiday
1207 , 1987 , Actress in a Supporting Role , 0 , Ann Sothern , The Whales of August
884 , 1971 , Actress in a Supporting Role , 0 , Ann-Margret , Carnal Knowledge
961 , 1975 , Actress in a Leading Role , 0 , Ann-Margret , Tommy
1647 , 2009 , Actress in a Supporting Role , 0 , Anna Kendrick , Up in the Air
550 , 1955 , Actress in a Leading Role , 1 , Anna Magnani , The Rose Tattoo
601 , 1957 , Actress in a Leading Role , 0 , Anna Magnani , Wild Is the Wind
1311 , 1993 , Actress in a Supporting Role , 1 , Anna Paquin , The Piano
1205 , 1987 , Actress in a Supporting Role , 0 , Anne Archer , Fatal Attraction
690 , 1962 , Actress in a Leading Role , 1 , Anne Bancroft , The Miracle Worker
1160 , 1985 , Actress in a Leading Role , 0 , Anne Bancroft , Agnes of God
1000 , 1977 , Actress in a Leading Role , 0 , Anne Bancroft , The Turning Point
800 , 1967 , Actress in a Leading Role , 0 , Anne Bancroft , The Graduate
740 , 1964 , Actress in a Leading Role , 0 , Anne Bancroft , The Pumpkin Eater
